Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose
12/06/2023;13,65;1,00050788;1.377.513.108.929,24;760;13,65;13,64;13,65;0,037;10.770,58
09/06/2023;13,65;1,00050788;1.382.749.082.745,88;760;13,65;13,64;13,65;0,049;6.685,64
07/06/2023;13,65;1,00050788;1.394.392.752.092,76;732;13,65;13,64;13,65;0,04;9.539,07
06/06/2023;13,65;1,00050788;1.402.973.069.436,90;770;13,65;13,64;13,65;0,041;9.099,92
05/06/2023;13,65;1,00050788;1.421.664.169.487,07;755;13,65;13,64;13,65;0,041;9.176,41
02/06/2023;13,65;1,00050788;1.416.458.576.607,07;752;13,65;13,64;13,65;0,035;11.679,23
01/06/2023;13,65;1,00050788;1.401.229.607.003,60;719;13,65;13,64;13,65;0,034;12.409,50
31/05/2023;13,65;1,00050788;1.362.956.657.646,67;740;13,65;13,64;13,65;0,029;13.878,67
30/05/2023;13,65;1,00050788;1.373.983.989.868,82;746;13,65;13,64;13,65;0,036;10.853,90
29/05/2023;13,65;1,00050788;1.380.916.257.916,35;712;13,65;13,64;13,65;0,033;12.329,44
26/05/2023;13,65;1,00050788;1.382.277.685.452,21;728;13,65;13,64;13,65;0,036;11.528,27
25/05/2023;13,65;1,00050788;1.432.561.839.385,36;722;13,65;13,64;13,65;0,037;11.500,15
24/05/2023;13,65;1,00050788;1.431.386.523.243,96;729;13,65;13,64;13,65;0,033;13.406,52
23/05/2023;13,65;1,00050788;1.435.082.103.857,10;712;13,65;13,64;13,65;0,035;12.247,27
22/05/2023;13,65;1,00050788;1.444.940.604.202,14;743;13,65;13,64;13,65;0,024;17.974,27
19/05/2023;13,65;1,00050788;1.469.276.521.655,04;725;13,65;13,64;13,65;0,023;18.073,41
18/05/2023;13,65;1,00050788;1.476.288.545.041,24;723;13,65;13,64;13,65;0,023;19.661,48
17/05/2023;13,65;1,00050788;1.477.197.205.891,21;722;13,65;13,64;13,65;0,022;18.561,08
16/05/2023;13,65;1,00050788;1.474.129.132.978,22;741;13,65;13,64;13,65;0,069;3.678,30
15/05/2023;13,65;1,00050788;1.482.866.887.688,04;751;13,65;13,64;13,65;0,068;3.840,16
12/05/2023;13,65;1,00050788;1.287.683.141.704,55;777;13,65;13,64;13,65;0,042;6.727,05
11/05/2023;13,65;1,00050788;1.295.715.089.627,64;759;13,65;13,64;13,65;0,026;15.032,86
10/05/2023;13,65;1,00050788;1.317.206.804.271,05;788;13,65;13,64;13,65;0,02;13.708,88
09/05/2023;13,65;1,00050788;1.315.697.442.304,05;761;13,65;13,64;13,65;0,027;15.524,07
08/05/2023;13,65;1,00050788;1.287.637.360.202,63;771;13,65;13,64;13,65;0,022;13.282,12
05/05/2023;13,65;1,00050788;1.275.094.277.192,53;729;13,65;13,64;13,65;0,02;10.480,52
04/05/2023;13,65;1,00050788;1.316.875.475.127,74;769;13,65;13,64;13,65;0,024;16.225,76
03/05/2023;13,65;1,00050788;1.319.106.408.666,61;759;13,65;13,64;13,65;0,023;16.017,42
02/05/2023;13,65;1,00050788;1.302.799.695.569,81;770;13,65;13,64;13,65;0,017;278,307
28/04/2023;13,65;1,00050788;1.257.752.115.039;857;13,65;13,64;13,65;0,031;113,45
27/04/2023;13,65;1,00050788;1.329.792.977.353,61;761;13,65;13,64;13,65;0,016;4.609,44
26/04/2023;13,65;1,00050788;1.333.242.801.420,85;779;13,65;13,64;13,65;0,017;5.644,45
25/04/2023;13,65;1,00050788;1.365.348.161.265,22;751;13,65;13,64;13,65;0,016;6.427,09
24/04/2023;13,65;1,00050788;1.361.683.673.263,98;758;13,65;13,64;13,65;0,02;16.816,80
20/04/2023;13,65;1,00050788;1.412.323.326.364,06;747;13,65;13,64;13,65;0,016;2.494,03
19/04/2023;13,65;1,00050788;1.401.621.473.332,03;755;13,65;13,64;13,65;0,016;2.778,94
18/04/2023;13,65;1,00050788;1.412.967.699.040,35;735;13,65;13,64;13,65;0,106;1.706,07
17/04/2023;13,65;1,00050788;1.422.058.218.717,78;783;13,65;13,64;13,65;0,098;1.700,37
14/04/2023;13,65;1,00050788;1.419.200.391.507,29;753;13,65;13,64;13,65;0,019;10.545,13
13/04/2023;13,65;1,00050788;1.440.929.865.925,92;733;13,65;13,64;13,65;0,016;1.156,34
12/04/2023;13,65;1,00050788;1.439.775.317.582,75;748;13,65;13,64;13,65;0,016;1.038,03
11/04/2023;13,65;1,00050788;1.459.618.802.134,74;778;13,65;13,64;13,65;0,016;345,509
10/04/2023;13,65;1,00050788;1.424.113.208.044,80;731;13,65;13,64;13,65;0,018;707,608
06/04/2023;13,65;1,00050788;1.445.866.172.155,97;748;13,65;13,64;13,65;0,017;502,35
05/04/2023;13,65;1,00050788;1.421.525.555.199,99;730;13,65;13,64;13,65;0,017;322,717
04/04/2023;13,65;1,00050788;1.426.212.724.528,69;716;13,65;13,64;13,65;0,062;4.082,72
03/04/2023;13,65;1,00050788;1.388.665.355.850,59;731;13,65;13,64;13,65;0,063;3.938,05
31/03/2023;13,65;1,00050788;1.274.581.183.798,16;702;13,65;13,64;13,65;0,017;423,182
30/03/2023;13,65;1,00050788;1.367.643.625.353,06;723;13,65;13,64;13,65;0,016;357,062
29/03/2023;13,65;1,00050788;1.383.330.593.266,29;736;13,65;13,64;13,65;0,021;15.569,98
28/03/2023;13,65;1,00050788;1.391.617.528.346,05;726;13,65;13,64;13,65;0,022;13.568,25
27/03/2023;13,65;1,00050788;1.396.253.364.404,03;741;13,65;13,64;13,65;0,021;15.412,15
24/03/2023;13,65;1,00050788;1.411.017.962.118,71;760;13,65;13,64;13,65;0,023;15.412,79
23/03/2023;13,65;1,00050788;1.429.923.772.013,20;757;13,65;13,64;13,65;0,019;11.219,47
22/03/2023;13,65;1,00050788;1.444.806.721.064,57;746;13,65;13,64;13,65;0,018;2.699,89
21/03/2023;13,65;1,00050788;1.456.169.376.876,30;753;13,65;13,64;13,65;0,017;2.560,46
20/03/2023;13,65;1,00050788;1.513.396.032.130,39;772;13,65;13,64;13,65;0,017;365,113
17/03/2023;13,65;1,00050788;1.485.193.205.933,30;763;13,65;13,64;13,65;0,016;374,927
16/03/2023;13,65;1,00050788;1.507.570.951.313,12;726;13,65;13,64;13,65;0,016;376,837
15/03/2023;13,65;1,00050788;1.502.001.268.117,01;735;13,65;13,64;13,65;0,017;591,137
14/03/2023;13,65;1,00050788;1.521.890.273.551,38;726;13,65;13,64;13,65;0,016;350,938
13/03/2023;13,65;1,00050788;1.518.315.923.151,49;625;13,65;13,64;13,65;0,016;380,116
10/03/2023;13,65;1,00050788;1.510.668.645.761,50;721;13,65;13,64;13,65;0,017;485,306
09/03/2023;13,65;1,00050788;1.539.133.129.728,80;765;13,65;13,64;13,65;0,018;11.603,94
08/03/2023;13,65;1,00050788;1.526.136.329.250,46;764;13,65;13,64;13,65;0,016;437,315
07/03/2023;13,65;1,00050788;1.544.569.438.664,71;761;13,65;13,64;13,65;0,016;358,964
06/03/2023;13,65;1,00050788;1.546.422.664.772,37;745;13,65;13,64;13,65;0,016;362,367
03/03/2023;13,65;1,00050788;1.543.639.819.097,86;747;13,65;13,64;13,65;0,016;372,053
02/03/2023;13,65;1,00050788;1.544.357.846.154,79;742;13,65;13,64;13,65;0,016;383,752
01/03/2023;13,65;1,00050788;1.499.872.544.040,71;788;13,65;13,64;13,65;0,018;311,11
28/02/2023;13,65;1,00050788;1.308.831.643.362,36;723;13,65;13,64;13,65;0,018;297,504
27/02/2023;13,65;1,00050788;1.320.152.308.033,69;752;13,65;13,64;13,65;0,016;350,212
24/02/2023;13,65;1,00050788;1.315.983.774.399,12;744;13,65;13,64;13,65;0,017;293,69
23/02/2023;13,65;1,00050788;1.336.632.023.925,55;755;13,65;13,64;13,65;0,017;338,608
22/02/2023;13,65;1,00050788;1.326.929.536.232,09;761;13,65;13,64;13,65;0,018;331,977
17/02/2023;13,65;1,00050788;1.377.765.877.488,69;713;13,65;13,64;13,65;0,016;367,047
16/02/2023;13,65;1,00050788;1.408.959.937.812,93;754;13,65;13,64;13,65;0,016;401,213
15/02/2023;13,65;1,00050788;1.398.895.582.643,59;754;13,65;13,64;13,65;0,017;337,263
14/02/2023;13,65;1,00050788;1.390.200.135.509,63;769;13,65;13,64;13,65;0,016;376,355
13/02/2023;13,65;1,00050788;1.378.214.885.630,46;757;13,65;13,64;13,65;0,018;297,39
10/02/2023;13,65;1,00050788;1.400.966.366.335,03;767;13,65;13,64;13,65;0,017;348,965
09/02/2023;13,65;1,00050788;1.364.417.947.342,63;742;13,65;13,64;13,65;0,017;394,206
08/02/2023;13,65;1,00050788;1.354.168.924.291,58;764;13,65;13,64;13,65;0,018;320,076
07/02/2023;13,65;1,00050788;1.353.628.794.434,74;788;13,65;13,64;13,65;0,019;278,361
06/02/2023;13,65;1,00050788;1.342.136.958.817,77;767;13,65;13,64;13,65;0,018;319,884
03/02/2023;13,65;1,00050788;1.304.984.000.181,93;761;13,65;13,64;13,65;0,019;294,548
02/02/2023;13,65;1,00050788;1.308.137.204.521,94;748;13,65;13,64;13,65;0,019;340,265
01/02/2023;13,65;1,00050788;1.301.772.809.799,70;762;13,65;13,64;13,65;0,018;357,371
31/01/2023;13,65;1,00050788;1.307.592.213.984,20;841;13,65;13,64;13,65;0,019;265,242
30/01/2023;13,65;1,00050788;1.346.296.384.202,67;755;13,65;13,64;13,65;0,018;338,43
27/01/2023;13,65;1,00050788;1.336.937.967.865,84;763;13,65;13,64;13,65;0,019;415,738
26/01/2023;13,65;1,00050788;1.329.562.209.276,32;841;13,65;13,64;13,65;0,021;338,852
25/01/2023;13,65;1,00050788;1.358.814.530.660,58;739;13,65;13,64;13,65;0,019;388,166
24/01/2023;13,65;1,00050788;1.386.486.127.007,92;722;13,65;13,64;13,65;0,019;441,287
23/01/2023;13,65;1,00050788;1.386.107.459.277,30;753;13,65;13,64;13,65;0,019;428,564
20/01/2023;13,65;1,00050788;1.418.717.397.029,74;642;13,65;13,64;13,65;0,019;449,869
19/01/2023;13,65;1,00050788;1.440.655.368.129,46;743;13,65;13,64;13,65;0,018;482,504
18/01/2023;13,65;1,00050788;1.435.945.439.545,45;750;13,65;13,64;13,65;0,018;527,575
17/01/2023;13,65;1,00050788;1.446.857.068.845,44;757;13,65;13,64;13,65;0,018;479,662
16/01/2023;13,65;1,00050788;1.424.890.998.180,77;746;13,65;13,64;13,65;0,019;410,391
13/01/2023;13,65;1,00050788;1.418.059.744.172,70;769;13,65;13,64;13,65;0,019;451,681
12/01/2023;13,65;1,00050788;1.441.357.098.695,49;764;13,65;13,64;13,65;0,018;536,436
11/01/2023;13,65;1,00050788;1.447.083.474.613,72;741;13,65;13,64;13,65;0,019;475,945
10/01/2023;13,65;1,00050788;1.477.368.952.193,06;736;13,65;13,64;13,65;0,018;501,277
09/01/2023;13,65;1,00050788;1.457.710.293.710,57;775;13,65;13,64;13,65;0,018;493,226
06/01/2023;13,65;1,00050788;1.472.481.743.741,24;846;13,65;13,64;13,65;0,019;415,288
05/01/2023;13,65;1,00050788;1.502.679.543.210,94;854;13,65;13,64;13,65;0,019;370,262
04/01/2023;13,65;1,00050788;1.505.203.943.048,20;839;13,65;13,64;13,65;0,019;363,203
03/01/2023;13,65;1,00050788;1.493.985.963.926,39;903;13,65;13,64;13,65;0,021;281,989
02/01/2023;13,65;1,00050788;1.491.916.331.339,62;921;13,65;13,64;13,65;0,021;297,469
30/12/2022;13,65;1,00050788;967.142.939.352,06;349;13,65;13,65;13,65;0,018;284,262
29/12/2022;13,65;1,00050788;1.022.151.482.258,82;395;13,65;13,65;13,65;0,018;210,522
28/12/2022;13,65;1,00050788;1.127.561.421.919,98;855;13,65;13,64;13,65;0,022;332,046
27/12/2022;13,65;1,00050788;1.112.489.222.865,51;871;13,65;13,64;13,65;0,021;346,582
26/12/2022;13,65;1,00050788;1.119.650.932.045,23;857;13,65;13,64;13,65;0,021;335,821
23/12/2022;13,65;1,00050788;1.137.966.214.680,75;848;13,65;13,64;13,65;0,02;394,566
22/12/2022;13,65;1,00050788;1.148.323.789.632,59;839;13,65;13,64;13,65;0,02;414,226
21/12/2022;13,65;1,00050788;1.194.199.633.367,08;857;13,65;13,64;13,65;0,019;520,679
20/12/2022;13,65;1,00050788;1.238.349.121.254,98;759;13,65;13,64;13,65;0,019;503,36
19/12/2022;13,65;1,00050788;1.235.877.559.118,11;849;13,65;13,64;13,65;0,019;436,73
16/12/2022;13,65;1,00050788;1.238.960.964.542,66;850;13,65;13,64;13,65;0,02;358,262
15/12/2022;13,65;1,00050788;1.261.852.037.289,66;844;13,65;13,64;13,65;0,019;431,864
14/12/2022;13,65;1,00050788;1.256.891.120.001,28;809;13,65;13,64;13,65;0,019;443,869
13/12/2022;13,65;1,00050788;1.269.028.934.887,26;834;13,65;13,64;13,65;0,019;445,539
12/12/2022;13,65;1,00050788;1.264.066.079.848,24;792;13,65;13,64;13,65;0,019;441,661
09/12/2022;13,65;1,00050788;1.276.423.583.390,25;747;13,65;13,64;13,65;0,019;487,423
08/12/2022;13,65;1,00050788;1.255.944.602.379,47;735;13,65;13,64;13,65;0,019;463,37
07/12/2022;13,65;1,00050788;1.260.638.324.217,46;744;13,65;13,64;13,65;0,019;418,083
06/12/2022;13,65;1,00050788;1.279.383.864.262,20;837;13,65;13,64;13,65;0,019;422,835
05/12/2022;13,65;1,00050788;1.274.999.113.795,09;819;13,65;13,64;13,65;0,02;406,716
02/12/2022;13,65;1,00050788;1.273.766.448.992,07;807;13,65;13,64;13,65;0,019;467,904
01/12/2022;13,65;1,00050788;1.275.065.935.468,55;755;13,65;13,64;13,65;0,019;513,466
30/11/2022;13,65;1,00050788;1.251.999.183.360,39;758;13,65;13,64;13,65;0,019;469,281
29/11/2022;13,65;1,00050788;1.291.282.772.130,93;846;13,65;13,64;13,65;0,019;496,889
28/11/2022;13,65;1,00050788;1.297.076.251.541,01;830;13,65;13,64;13,65;0,02;446,954
25/11/2022;13,65;1,00050788;1.292.226.706.456,74;748;13,65;13,64;13,65;0,02;351,004
24/11/2022;13,65;1,00050788;1.292.723.788.732,86;827;13,65;13,64;13,65;0,02;349,985
23/11/2022;13,65;1,00050788;1.297.657.872.814,98;830;13,65;13,64;13,65;0,019;391,412
22/11/2022;13,65;1,00050788;1.306.528.921.553,33;730;13,65;13,64;13,65;0,019;455,925
21/11/2022;13,65;1,00050788;1.320.279.249.465,84;778;13,65;13,64;13,65;0,019;414,641
18/11/2022;13,65;1,00050788;1.370.563.865.615,01;744;13,65;13,64;13,65;0,018;560,752
17/11/2022;13,65;1,00050788;1.374.297.214.640,19;732;13,65;13,64;13,65;0,018;484,712
16/11/2022;13,65;1,00050788;1.366.220.310.964,68;736;13,65;13,64;13,65;0,018;424,839
14/11/2022;13,65;1,00050788;1.335.679.884.336,72;749;13,65;13,64;13,65;0,019;427,412
11/11/2022;13,65;1,00050788;1.361.018.267.918,43;750;13,65;13,64;13,65;0,018;463,465
10/11/2022;13,65;1,00050788;1.393.306.414.554,37;705;13,65;13,64;13,65;0,017;492,61
09/11/2022;13,65;1,00050788;1.389.017.782.369,13;692;13,65;13,64;13,65;0,018;407,258
08/11/2022;13,65;1,00050788;1.391.779.834.888,07;740;13,65;13,64;13,65;0,018;415,243
07/11/2022;13,65;1,00050788;1.354.368.324.857,11;708;13,65;13,64;13,65;0,02;7.875,60
04/11/2022;13,65;1,00050788;1.368.179.493.932,78;702;13,65;13,64;13,65;0,019;435,456
03/11/2022;13,65;1,00050788;1.381.941.240.522,06;700;13,65;13,64;13,65;0,019;419,603
01/11/2022;13,65;1,00050788;1.385.232.762.411,10;694;13,65;13,64;13,65;0,018;466,476
31/10/2022;13,65;1,00050788;1.395.234.650.792,63;709;13,65;13,64;13,65;0,019;429,678
28/10/2022;13,65;1,00050788;1.425.013.380.767,87;701;13,65;13,64;13,65;0,018;457,573
27/10/2022;13,65;1,00050788;1.447.845.897.226,15;684;13,65;13,64;13,65;0,019;436,302
26/10/2022;13,65;1,00050788;1.433.083.827.062,18;700;13,65;13,64;13,65;0,019;418,479
25/10/2022;13,65;1,00050788;1.459.623.891.918,91;731;13,65;13,64;13,65;0,018;541,196
24/10/2022;13,65;1,00050788;1.440.349.144.211,37;731;13,65;13,64;13,65;0,018;472,827
21/10/2022;13,65;1,00050788;1.444.908.437.951,57;736;13,65;13,64;13,65;0,017;494,312
20/10/2022;13,65;1,00050788;1.516.616.902.416,14;752;13,65;13,64;13,65;0,017;532,6
19/10/2022;13,65;1,00050788;1.530.092.088.680,66;746;13,65;13,64;13,65;0,018;432,205
18/10/2022;13,65;1,00050788;1.539.251.851.214,14;753;13,65;13,64;13,65;0,017;510,039
17/10/2022;13,65;1,00050788;1.530.336.785.161,57;739;13,65;13,64;13,65;0,017;449,827
14/10/2022;13,65;1,00050788;1.527.544.623.288,14;715;13,65;13,64;13,65;0,017;455,944
13/10/2022;13,65;1,00050788;1.543.224.473.897,54;780;13,65;13,64;13,65;0,018;462,272
11/10/2022;13,65;1,00050788;1.574.885.523.674,19;751;13,65;13,64;13,65;0,016;531,406
10/10/2022;13,65;1,00050788;1.568.677.624.596,86;734;13,65;13,64;13,65;0,017;499,113
07/10/2022;13,65;1,00050788;1.518.764.812.596,11;725;13,65;13,64;13,65;0,018;473,712
06/10/2022;13,65;1,00050788;1.537.578.673.120,48;748;13,65;13,64;13,65;0,018;510,944
05/10/2022;13,65;1,00050788;1.525.316.238.981,90;743;13,65;13,64;13,65;0,018;507,296
04/10/2022;13,65;1,00050788;1.553.535.978.688,38;763;13,65;13,64;13,65;0,018;455,549
03/10/2022;13,65;1,00050788;1.563.388.457.217,50;761;13,65;13,64;13,65;0,019;468,155
30/09/2022;13,65;1,00050788;1.375.396.604.660,92;726;13,65;13,64;13,65;0,02;382,672
29/09/2022;13,65;1,00050788;1.433.586.248.117,49;778;13,65;13,64;13,65;0,025;190,373
28/09/2022;13,65;1,00050788;1.430.207.422.839,01;716;13,65;13,64;13,65;0,019;383,98
27/09/2022;13,65;1,00050788;1.442.581.594.282,50;752;13,65;13,64;13,65;0,019;870,159
26/09/2022;13,65;1,00050788;1.432.488.983.974,04;750;13,65;13,64;13,65;0,019;463,362
23/09/2022;13,65;1,00050788;1.429.299.540.532,87;781;13,65;13,64;13,65;0,019;558,695
22/09/2022;13,65;1,00050788;1.442.594.814.343,55;758;13,65;13,64;13,65;0,019;468,149
21/09/2022;13,65;1,00050788;1.436.284.551.062,47;778;13,65;13,64;13,65;0,018;533,939
20/09/2022;13,65;1,00050788;1.484.166.678.883,79;730;13,65;13,64;13,65;0,018;455,4
19/09/2022;13,65;1,00050788;1.510.619.728.045,04;754;13,65;13,64;13,65;0,018;425,226
16/09/2022;13,65;1,00050788;1.493.927.504.973,40;724;13,65;13,64;13,65;0,017;531,267
15/09/2022;13,65;1,00050788;1.507.821.754.477,27;717;13,65;13,64;13,65;0,018;440,225
14/09/2022;13,65;1,00050788;1.516.145.941.077,22;751;13,65;13,64;13,65;0,017;522,117
13/09/2022;13,65;1,00050788;1.526.922.219.423,26;776;13,65;13,64;13,65;0,017;517,482
12/09/2022;13,65;1,00050788;1.525.526.777.563,93;732;13,65;13,64;13,65;0,018;476,767
09/09/2022;13,65;1,00050788;1.524.825.141.490,82;741;13,65;13,64;13,65;0,017;522,585
08/09/2022;13,65;1,00050788;1.540.389.255.533,50;735;13,65;13,64;13,65;0,018;481,075
06/09/2022;13,65;1,00050788;1.536.431.309.753,18;773;13,65;13,64;13,65;0,018;451,966
05/09/2022;13,65;1,00050788;1.545.853.126.838,94;749;13,65;13,64;13,65;0,018;482,129
02/09/2022;13,65;1,00050788;1.520.198.779.183,05;759;13,65;13,64;13,65;0,018;487,384
01/09/2022;13,65;1,00050788;1.534.267.956.012,44;771;13,65;13,64;13,65;0,018;463,994
31/08/2022;13,65;1,00050788;1.286.462.010.282,97;730;13,65;13,64;13,65;0,021;328,581
30/08/2022;13,65;1,00050788;1.345.261.072.477,21;745;13,65;13,64;13,65;0,019;422,019
29/08/2022;13,65;1,00050788;1.344.509.694.928,51;720;13,65;13,64;13,65;0,018;486,094
26/08/2022;13,65;1,00050788;1.333.903.563.772,83;709;13,65;13,64;13,65;0,019;469,426
25/08/2022;13,65;1,00050788;1.364.451.969.129,89;767;13,65;13,64;13,65;0,018;426,925
24/08/2022;13,65;1,00050788;1.370.612.682.811,56;741;13,65;13,64;13,65;0,018;407,737
23/08/2022;13,65;1,00050788;1.386.217.095.252,50;721;13,65;13,64;13,65;0,021;457,978
22/08/2022;13,65;1,00050788;1.375.796.150.366,87;757;13,65;13,64;13,65;0,022;385,821
19/08/2022;13,65;1,00050788;1.416.030.265.972,39;724;13,65;13,64;13,65;0,021;448,789
18/08/2022;13,65;1,00050788;1.454.899.053.353,16;744;13,65;13,64;13,65;0,02;565,137
17/08/2022;13,65;1,00050788;1.447.932.137.678,34;760;13,65;13,64;13,65;0,021;521,916
